time,voltage,current
492,-0.00,21.06
1014,0.06,24.42
1538,0.06,24.41
2061,0.06,24.41
2584,0.06,24.41
3108,0.06,24.41
3632,0.06,24.41
4155,0.06,24.41
4678,0.06,24.41
5201,0.06,24.41
5725,0.06,24.41
6248,0.06,24.41
6772,0.06,24.41
7296,0.06,24.41
7819,0.06,24.40
8342,0.06,24.40
8865,0.06,24.40
9389,0.06,24.40
9912,0.34,24.28
10436,1.13,24.06
10959,1.06,24.06
11483,1.10,24.05
12006,1.10,24.04
12530,1.07,24.03
13053,1.06,24.02
13577,1.03,24.02
14100,1.05,24.01
14632,1.13,24.00
15158,1.06,24.00
15682,1.08,23.99
16205,1.08,23.98
16729,1.10,23.98
17252,1.12,23.97
17775,1.08,23.97
18298,1.07,23.97
18822,1.06,23.97
19345,1.14,23.96
19868,1.17,23.95
20391,1.02,23.97
20915,1.13,23.95
21438,1.02,23.96
21961,1.02,23.98
22484,1.17,23.94
23008,1.18,23.93
23531,1.13,23.93
24054,1.13,23.93
24579,1.07,23.94
25101,1.07,23.94
25625,1.05,23.94
26148,1.10,23.93
26672,1.04,23.94
27195,1.08,23.93
27718,1.06,23.94
28241,1.07,23.93
28765,1.12,23.93
30807,1.12,23.91
31330,1.12,23.91
31854,1.08,23.91
33887,1.10,23.90
34411,1.10,23.91
34934,1.16,23.91
36466,1.08,23.89
36989,1.05,23.90
37513,1.08,23.91
38036,1.09,23.90
38559,1.10,23.90
39084,1.09,23.90
39607,1.06,23.90
40130,1.08,23.90
40653,1.13,23.89
41178,1.12,23.89
41701,1.14,23.89
42224,1.09,23.89
42747,1.08,23.89
43272,1.10,23.88
43795,1.07,23.90
44318,1.05,23.90
44841,1.07,23.90
45366,1.08,23.89
45889,1.02,23.90
46412,1.11,23.89
46936,1.08,23.89
47464,1.15,23.88
47987,1.09,23.88
48514,1.04,23.89
49037,1.17,23.89
49560,1.11,23.89
50084,1.06,23.88
50608,1.06,23.89
51131,1.10,23.89
51654,1.09,23.90
52177,0.99,23.90
52701,1.04,23.89
53224,1.10,23.89
53747,1.12,23.89
54272,1.12,23.87
54794,1.06,23.88
55318,1.15,23.88
55841,1.07,23.88
56365,1.17,23.87
56887,1.11,23.89
57411,1.13,23.88
57934,1.03,23.87
58458,1.12,23.88
58981,1.02,23.88
59504,1.10,23.88
60027,1.08,23.88
60551,1.11,23.86
61074,1.11,23.87
61597,1.06,23.87
62125,1.11,23.87
62648,1.11,23.87
63176,1.11,23.87
63700,1.08,23.87
64224,1.10,23.88
64747,1.00,23.88
65270,1.09,23.87
65794,1.06,23.87
66317,1.09,23.88
66839,1.08,23.87
67362,1.07,23.87
67886,1.09,23.86
68409,1.14,23.87
68932,1.11,23.86
69455,1.14,23.87
69979,1.07,23.86
70502,1.10,23.86
71025,1.11,23.86
71547,1.08,23.86
72072,1.02,23.87
72594,1.08,23.86
73117,1.10,23.87
73640,1.08,23.86
74164,1.04,23.86
74687,1.09,23.86
75210,1.10,23.85
75734,1.12,23.86
76257,1.07,23.86
76784,1.14,23.87
77307,1.08,23.85
77834,1.10,23.85
78358,1.08,23.86
78881,1.12,23.86
79405,1.07,23.86
79929,1.13,23.86
80452,1.07,23.86
80975,1.04,23.86
81499,1.13,23.86
82023,1.12,23.86
82546,1.11,23.85
83069,1.10,23.85
83593,1.09,23.85
84117,1.10,23.85
84640,1.10,23.85
85164,1.09,23.86
85687,1.16,23.85
86211,1.09,23.85
86734,1.12,23.86
87258,1.08,23.85
87781,1.08,23.85
88305,1.13,23.86
88828,1.09,23.85
89352,1.06,23.86
89875,1.07,23.85
90399,1.07,23.86
90927,1.06,23.85
91451,1.06,23.86
91974,1.09,23.86
92497,1.08,23.85
93025,1.08,23.85
93549,1.04,23.86
94072,1.08,23.85
94597,1.09,23.85
95120,1.05,23.84
95644,1.10,23.84
96167,1.09,23.85
96691,1.09,23.85
97214,1.05,23.84
97738,1.10,23.84
98262,1.08,23.84
98785,1.03,23.85
99308,1.04,23.85
99832,1.11,23.85
100356,1.11,23.84
100879,1.09,23.85
101402,1.08,23.85
101926,1.08,23.85
102450,1.07,23.85
102973,1.05,23.84
103497,1.12,23.84
104020,1.09,23.85
104544,1.12,23.84
105067,1.13,23.84
105595,1.07,23.84
106121,1.11,23.83
106644,1.13,23.84
107168,1.11,23.84
107694,1.11,23.83
108218,1.15,23.83
108742,1.14,23.84
109265,1.05,23.84
109789,1.08,23.83
110312,1.08,23.84
110835,1.08,23.85
111358,1.08,23.84
111883,1.07,23.85
112406,1.02,23.85
112929,1.10,23.84
113453,1.11,23.85
113977,1.11,23.83
114500,1.09,23.83
115023,1.11,23.84
115547,1.11,23.84
116070,1.10,23.83
116594,1.11,23.83
117117,1.09,23.83
117641,1.09,23.83
118164,1.09,23.84
118688,1.08,23.84
119212,1.09,23.83
119739,1.08,23.83
120263,1.07,23.83
120786,1.08,23.84
121310,1.10,23.83
121836,1.02,23.84
122359,1.06,23.84
122883,1.08,23.83
123407,1.05,23.84
123930,1.07,23.83
124453,1.07,23.83
124977,1.05,23.84
125500,1.08,23.83
126024,1.05,23.84
126547,1.09,23.82
127071,1.05,23.83
127594,1.09,23.83
128118,1.11,23.82
128642,1.11,23.83
129165,1.11,23.82
129688,1.11,23.82
130211,1.09,23.83
130736,1.08,23.83
131259,1.09,23.83
131782,1.07,23.83
132305,1.06,23.83
132829,1.08,23.83
133353,1.07,23.84
133876,1.04,23.83
134405,1.11,23.83
134929,1.09,23.83
135452,1.06,23.83
135973,1.09,23.82
136497,1.06,23.83
137020,1.10,23.82
137543,1.06,23.82
138066,1.10,23.82
138590,1.10,23.82
139113,1.14,23.82
139636,1.11,23.83
140160,1.07,23.82
140683,1.07,23.83
141206,1.10,23.83
141730,1.07,23.82
142254,1.06,23.83
142777,1.05,23.82
143300,1.08,23.83
143823,1.06,23.82
144347,1.08,23.82
144870,1.03,23.82
145393,1.07,23.82
145916,1.10,23.82
146440,1.12,23.82
146963,1.09,23.82
147486,1.08,23.82
148009,1.13,23.82
148533,1.10,23.82
149061,1.10,23.82
149590,1.09,23.82
150115,1.08,23.82
150638,1.10,23.82
151161,1.04,23.82
151685,1.09,23.82
152208,1.08,23.82
152731,1.03,23.82
153254,1.10,23.82
153778,1.07,23.82
154301,1.04,23.83
154824,1.08,23.82
155347,1.05,23.82
155871,1.04,23.82
156394,1.09,23.81
156917,1.09,23.81
157441,1.06,23.82
157964,1.06,23.81
158487,1.10,23.81
159011,1.09,23.81
159534,1.07,23.81
160057,1.09,23.81
160581,1.08,23.81
161104,1.04,23.83
161628,1.04,23.82
162151,1.09,23.82
162674,1.04,23.82
163202,1.03,23.82
163728,1.07,23.82
164251,1.09,23.82
164774,1.05,23.82
165299,1.09,23.81
165822,1.10,23.81
166345,1.08,23.81
166868,1.08,23.81
167392,1.07,23.81
167915,1.10,23.81
168438,1.11,23.82
168962,1.12,23.81
169485,1.10,23.81
170009,1.10,23.81
170531,1.06,23.81
171056,1.07,23.81
171579,1.06,23.82
172102,1.05,23.81
172625,1.08,23.82
173149,1.10,23.81
173672,1.08,23.82
174195,1.11,23.81
174718,1.09,23.82
175243,1.08,23.81
175766,1.08,23.82
176289,1.08,23.81
176813,1.10,23.81
177336,1.11,23.81
177867,1.10,23.81
178391,1.13,23.80
178914,1.10,23.81
179437,1.11,23.80
179960,1.10,23.81
180484,1.09,23.80
181007,1.09,23.81
181530,1.06,23.81
182053,1.06,23.81
182577,1.06,23.81
183100,1.04,23.81
183623,1.06,23.82
184146,1.08,23.81
184670,1.05,23.81
185193,1.07,23.81
185716,1.08,23.80
186240,1.07,23.80
186763,1.07,23.80
187286,1.07,23.81
187809,1.10,23.80
188333,1.09,23.81
188856,1.09,23.81
189379,1.08,23.81
189902,1.09,23.80
190426,1.11,23.81
190949,1.09,23.81
191473,1.07,23.81
192002,1.10,23.81
192525,1.01,23.81
193048,1.08,23.81
193572,1.07,23.81
194096,1.08,23.81
194619,1.06,23.81
195142,1.07,23.81
195666,1.07,23.81
196190,1.11,23.81
196713,1.08,23.80
197236,1.07,23.81
197760,1.12,23.79
198284,1.12,23.80
198807,1.11,23.80
199330,1.08,23.80
199854,1.06,23.80
200377,1.04,23.80
200901,1.07,23.80
201424,1.05,23.80
201948,1.10,23.80
202471,1.01,23.81
202995,1.09,23.81
203518,1.04,23.81
204042,1.08,23.80
204565,1.07,23.80
205088,1.08,23.80
205612,1.08,23.80
206140,1.06,23.80
206667,1.12,23.80
207192,1.09,23.79
207715,1.14,23.80
208238,1.10,23.80
208761,1.10,23.80
209285,1.10,23.80
209809,1.06,23.80
210332,1.09,23.80
210855,1.07,23.80
211379,1.06,23.81
211902,1.06,23.81
212425,1.03,23.80
212950,1.03,23.80
213473,1.04,23.80
213997,1.10,23.80
214520,1.04,23.81
215044,1.09,23.80
215567,1.10,23.80
216090,1.13,23.79
216614,1.11,23.79
217138,1.09,23.79
217661,1.10,23.79
218185,1.07,23.80
218708,1.12,23.80
219232,1.11,23.79
219755,1.08,23.80
220281,1.07,23.79
220810,1.09,23.80
221333,1.08,23.80
221856,1.06,23.80
222380,1.07,23.80
222903,1.07,23.80
223427,1.10,23.80
223949,1.09,23.80
224474,1.08,23.80
224997,1.02,23.79
225520,1.05,23.80
226043,1.10,23.79
226568,1.07,23.79
227091,1.11,23.79
227614,1.08,23.79
229145,1.09,23.79
229668,1.07,23.79
